"","fips","abbr","full","pop_2015","states","Freq"
"154","01","AL","Alabama",4858979," AL",8
"310","05","AR","Arkansas",2978204," AR",20
"564","04","AZ","Arizona",6828065," AZ",14
"821","06","CA","California",39144818," CA",166
"1485","08","CO","Colorado",5456574," CO",42
"1536","08","CO","Colorado",5456574," CO ",1
"1894","09","CT","Connecticut",3590886," CT",41
"2049","11","DC","District of Columbia",672228," DC",34
"2099","10","DE","Delaware",945934," DE",1
"2356","12","FL","Florida",20271272," FL",58
"2510","13","GA","Georgia",10214860," GA",98
"2561","13","GA","Georgia",10214860," GA ",1
"3076","19","IA","Iowa",3123899," IA",16
"3124","16","ID","Idaho",1654930," ID",4
"3176","17","IL","Illinois",12859995," IL",56
"3227","17","IL","Illinois",12859995," IL ",2
"3432","18","IN","Indiana",6619680," IN",16
"3893","20","KS","Kansas",2911641," KS",31
"3945","21","KY","Kentucky",4425092," KY",16
"3997","22","LA","Louisiana",4670724," LA",22
"4102","25","MA","Massachusetts",6794422," MA",48
"4560","24","MD","Maryland",6006401," MD",21
"4610","23","ME","Maine",1329328," ME",5
"4868","26","MI","Michigan",9922576," MI",31
"5328","27","MN","Minnesota",5489594," MN",24
"5432","29","MO","Missouri",6083672," MO",12
"5584","28","MS","Mississippi",2992333," MS",1
"5637","30","MT","Montana",1032949," MT",6
"5848","37","NC","North Carolina",10042802," NC",47
"5900","38","ND","North Dakota",756927," ND",2
"5944","31","NE","Nebraska",1896190," NE",4
"6303","33","NH","New Hampshire",1330608," NH",6
"6355","34","NJ","New Jersey",8958013," NJ",25
"6407","35","NM","New Mexico",2085109," NM",2
"6608","32","NV","Nevada",2890845," NV",22
"6659","32","NV","Nevada",2890845," NV ",2
"6765","36","NY","New York",19795791," NY",111
"6816","36","NY","New York",19795791," NY ",2
"6972","39","OH","Ohio",11613423," OH",57
"7126","40","OK","Oklahoma",3911338," OK",13
"7484","41","OR","Oregon",4028977," OR",22
"7689","42","PA","Pennsylvania",12802503," PA",54
"8047","44","RI","Rhode Island",1056298," RI",6
"8201","45","SC","South Carolina",4896146," SC",21
"8253","46","SD","South Dakota",858469," SD",2
"8764","47","TN","Tennessee",6600299," TN",21
"8867","48","TX","Texas",27469114," TX",112
"9225","49","UT","Utah",2995919," UT",16
"9329","51","VA","Virginia",8382993," VA",57
"9380","51","VA","Virginia",8382993," VA ",2
"9532","50","VT","Vermont",626042," VT",3
"9585","53","WA","Washington",7170351," WA",42
"9636","53","WA","Washington",7170351," WA ",1
"9791","55","WI","Wisconsin",5771337," WI",20
"9892","54","WV","West Virginia",1844128," WV",3
"9945","56","WY","Wyoming",586107," WY",1
"10214","17","IL","Illinois",12859995,"IL",1
"10290","42","PA","Pennsylvania",12802503,"PA",1
"10447","47","TN","Tennessee",6600299,"TN",1
